Numeric Value,Category Name
827,Смесь сухая для приготовления супа с бульоном
828,Снэки
829,Хот-дог (сосиска в хлебе)
830,Чизбургер
831,Чипсы картофельные
832,Чипсы кукурузные
833,"Ролл с мясом, шаурма"
834,Бульонные кубики и сублимированный бульон
835,Пюре быстрого приготовления с сублимированным мясом и овощами
836,Корм для других животных
837,Корм для кошек
838,Корм для собак
839,Молочные продукты для дет питания
840,Молочные смеси сухие для дет питания
841,Мясные консервы для дет питания
842,Овощные консервы для дет питания
843,Фруктовые консервы для дет питания
844,Печенье детское
845,Несъедобное
846,Нераспознанные непродуктовые товары
847,нераспознанные продукты
848,нераспознанные Продукты из мяса
849,Комбинированный обед или бизнес-ланч
